Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
"iPhone 11, 128 ГБ",21000,https://www.avito.ru/moskva/telefony/iphone_11_128_gb_4214984019,"Продам чёрный iPhone 11 на 128Gb без каких-либо дефектов. Носился всегда в чехле, эксплуатировался аккуратно. Ничего не ремонтировалось, не вскрывалось. Аккумулятор 85%. Без торга.",6,сегодня в 12:10,no,-
"iPhone 11, 64 ГБ",18000,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/telefony/iphone_11_64_gb_4388155170?slocation=107620,"Продаю айфон 11. Состояние аккумулятора 78%. В ремонте не был, не вскрывался. Полный комплект.",2,сегодня в 11:59,no,-
"iPhone 11, 128 ГБ",14000,https://www.avito.ru/lyubertsy/telefony/iphone_11_128_gb_4201538273?slocation=107620,"IPhone 11 128 ГБ. Ростест. Состояние нового телефона, любые проверки. Полный комплект: коробка, зарядка, штекер, наушники. Будет отличным подарком. Использовался с защитным стеклом. Чехлы в подарок. #iphone #iphone8plus #iphone6case #iphonex #iphones #iphonexparami #iphone6 #iphone5 #iphoneography #iphone7 #iphone8 #iphone4s #iphonexr #iphonе11.",10,сегодня в 12:09,no,-
"iPhone 11, 64 ГБ",21000,https://www.avito.ru/moskva/telefony/iphone_11_64_gb_2489495284?slocation=107620,"Приветствуем Вас! Читайте внимательно описание! Мы понимаем, сколько не объясняй, каждый все равно поймет как ему выгодно! Наша компания продаёт электронику Только Крупным Оптом! (Склад!) Минимальный заказ — от 100шт! Возможна пробная партия телефонов от 10шт и аксессуаров от 100шт! (Условия уточняйте!). Цены В Объявлениях Указаны От 1000шт. Одной Модели! 1-2-5шт Не Продаём, Просьба Не Писать По Такому Заказу! Сразу В Бан! Кому Не Подходят Наши Условия Или Не Согласен- Не Тратьте Наше И Ваше Время! Также писать в разные объявления только увеличит время ответа! Доставка в любой регион/любой ТК только после оплаты! Самовывоз Тяк Москва ежедневно! Оплата на месте При Получении И После Проверки! Весь Товар В Наличии В Москве!",2684,сегодня в 12:19,Компания ·,-
"iPhone 11, 128 ГБ",18000,https://www.avito.ru/klin/telefony/iphone_11_128_gb_4271131782,Полный комплект: В отличном состоянии. Зарядное устройство. Коробка. Использовался с защитным стеклом. Все детали в рабочем состоянии. Любые проверки на месте.,7,сегодня в 12:00,no,-
"iPhone 11, 256 ГБ",25000,https://www.avito.ru/egorevsk/telefony/iphone_11_256_gb_4172880635,"Продаю свой iPhone 11 256gb. Состояние идеальное, всегда с защитой стекла и в чехле. Причина продажи — покупка новой модели. В комплекте коробка, наушники проводные, зарядный блок, провод, защитное стекло (уже на нём), наклейки, защитное покрытие на заднюю панель. Телефон был куплен в Чехии в 2019 году. Работает идеально.",5,сегодня в 11:59,no,-
"iPhone 11, 128 ГБ",17500,https://www.avito.ru/moskva/telefony/iphone_11_128_gb_4220011738,Продам айфон Ростест. На 128гб. В хорошем состоянии на 4+. Полный комплект — чехол зарядное устройство защитное стекло документы. Всё есть. Работают идеально. Все. Функции работают отлично. Батарею держит день без обмана.,1326,3 сентября в 20:16,no,-
"iPhone 11, 128 ГБ",18990,https://www.avito.ru/nizhniy_novgorod/telefony/iphone_11_128_gb_4196169271?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,3522,вчера в 12:22,Компания ·,-
"iPhone 11, 64 ГБ",16990,https://www.avito.ru/nizhniy_novgorod/telefony/iphone_11_64_gb_4291611257?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,537,вчера в 12:22,Компания ·,-
"iPhone 11, 128 ГБ",17990,https://www.avito.ru/nizhniy_novgorod/telefony/iphone_11_128_gb_4355528577?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,685,13 сентября в 12:22,Компания ·,-
,17900,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_128_gb_4625736577?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,0,сегодня в 12:18,Частное лицо ·,-
,15000,https://www.avito.ru/moskva/telefony/iphone_11_128_gb_4295409280?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,0,сегодня в 12:15,no,-
,21000,https://www.avito.ru/moskva/telefony/iphone_11_64_gb_4295145325?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,4,сегодня в 12:14,no,-
,20490,https://www.avito.ru/rostov-na-donu/telefony/iphone_11_128_gb_4181964851?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,3,сегодня в 12:02,Компания ·,-
,19490,https://www.avito.ru/rostov-na-donu/telefony/iphone_11_128_gb_4181576697?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,2,сегодня в 12:01,Компания ·,-
,21333,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_128_gb_4170750252?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,1,сегодня в 11:59,Компания ·,-
,28290,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_256_gb_3394914432?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,133,сегодня в 11:58,no,-
,28290,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_256_gb_3394976119?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,401,сегодня в 11:58,no,-
,16990,https://www.avito.ru/rostov-na-donu/telefony/iphone_11_64_gb_4181585138?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,2,сегодня в 11:56,Компания ·,-
,20900,https://www.avito.ru/nizhniy_novgorod/telefony/iphone_11_128_gb_4103912033?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,6,сегодня в 11:54,Компания ·,-
,16000,https://www.avito.ru/kazan/telefony/iphone_11_64_gb_4372499296?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,0,сегодня в 12:22,Частное лицо ·,-
,29000,https://www.avito.ru/moskva/telefony/iphone_11_64_gb_4387669554?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,0,сегодня в 12:22,no,-
,999,https://www.avito.ru/novosibirsk/telefony/iphone_11_64_gb_4249530272?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,170,13 сентября в 16:51,no,-
,16300,https://www.avito.ru/moskva/telefony/iphone_11_128_gb_4252203090?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,0,сегодня в 12:28,no,-
,15500,https://www.avito.ru/voronezh/telefony/iphone_11_64_gb_4280117724?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,663,сегодня в 12:09,no,-
,14890,https://www.avito.ru/moskva/telefony/iphone_11_64_gb_4225416602?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,227,сегодня в 11:53,no,-
,13990,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_128_gb_4241091162?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,65,сегодня в 11:53,no,-
,18500,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_128_gb_4294665859?context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,11,сегодня в 12:09,no,-
,16500,https://www.avito.ru/rostov-na-donu/telefony/iphone_11_128_gb_4201012108?slocation=107620&context=H4sIAAAAAAAA_0q0MrKqLrYytlIqLkpWsi62MjSwUkoqyk9MyU0sSc4Ai1gpVYBoY0MrpQxDE7Nks-RSk6xyM9Oc4mSDVAsLk6p0o6y0xEKTshwl61pAAAAA__8az4ROUQAAAA,,21,сегодня в 12:06,no,-
"iPhone 11, 128 ГБ",27000,https://www.avito.ru/moskva/telefony/iphone_11_128_gb_4059309270?slocation=107620,"Оригинальный iphоnе 11. Приятные подарки к телефону, звоните или пишите. Оригинальный iphone. На телефон есть гарантия. Указaны poзничные цены! Bсе функции имеютcя. Новый оригинальный телефон напрямую от производителя. Зарядное устройство в комплекте. Akб 100%. Полный кoмплект. Новый, без царапин, сколов. Также в наличии есть и другие цвета. Все проверки на месте. У нас есть доставка! Доставляем своими курьерами по Москве и Московской области. Доставка по всей России с помощью авито доставки, быстро и безопасно. Самовывоз в мкр-н Железнодорожный. По всем вопросам пишите или звоните. Возможно Вы искали: телефон смартфон iPhone айфон эйфон аппарат устройство iphone 11. Мы работаем: Раменское Люберцы Балашиха Щёлково Мытищи Королёв Химки Долгопрудный Нахабино Красногорск Одинцово Апрелевка Троицк Видное Подольск Щербинка Бутово и многие другие районы Москвы и Московской области.",915,13 сентября в 17:36,Частное лицо ·,-
"iPhone 11, 128 ГБ",20000,https://www.avito.ru/elektrostal/telefony/iphone_11_128_gb_4240663786,Полный комплект: Зарядное устройство. Коробка. Наушники. Использовался с защитным стеклом. Отвязан от всех аккаунтов. Без сколов и дефектов.,2,сегодня в 12:10,no,-
"iPhone 11, 64 ГБ",15500,https://www.avito.ru/moskva/telefony/iphone_11_64_gb_4555702327?slocation=107620,"Акция! Неделя бесплатной доставки. В пределах ЗАО, ЦАО, ЮЗАО. IPhone 11 64 gb белый. В очень достойном состоянии. Со слов прежнего собственника обслуживалась батарея. Все функции в рабочем состоянии. Дорогие братья и сестрам, цена «последняя», «финальная» и «окончательная». Цена определяется совокупностью факторов. —Без торга —-—. (упоминание о нем приведёт к блокировке). Подпишитесь на мой профиль и следите за новинками. Авито доставкой отправляю в индивидуальных случаях +4% к стоимости. Предпочтительно по почте сдэком при полной предоплате либо личная встреча (см. Отзывы). Так же возможна личная доставка от меня в пределах Москвы и МО по тарифу такси. Для перекупов из региона есть особые лояльные условия сотрудничества (лоты). Бронь возможна только по предоплате. Так же имеется trade in на Ваш iPhone или на любую другую технику Apple на лояльных для Вас условиях. Просьба свои условия не диктовать. Да-да. Нет-нет. На android обмен не распространяет. Либо оцениваю за символическую стоимость.",285,7 сентября в 05:08,Частное лицо ·,-
"iPhone 11, 64 ГБ",16490,https://www.avito.ru/moskva/telefony/iphone_11_64_gb_4626163236?slocation=107620,"Состояние устройства: В ремонте не был. Полностью рабочий. На дисплее есть пару небольших царапин. Корпус в хорошем состоянии. Комплект: коробка, кабель.",0,сегодня в 12:38,Частное лицо ·,-
"iPhone 11, 64 ГБ",15900,https://www.avito.ru/sankt-peterburg/telefony/iphone_11_64_gb_2891757803?context=H4sIAAAAAAAA_xzIbQqDMBAE0LvsCZqGtjA5zXYimAWN-QAD4t1Ffz14ijeOBg9plRIa3Avyr1njop3zM5Bx6x1E08i0Et32W223Pn2NRs9E0spHwnkFAAD__3efI0FRAAAA,,20942,вчера в 12:38,Компания ·,-
"iPhone 11, 128 ГБ",30900,https://www.avito.ru/kazan/telefony/iphone_11_128_gb_3559945943?slocation=107620&context=H4sIAAAAAAAA_xzIbQqDMBAE0LvsCZqGtjA5zXYimAWN-QAD4t1Ffz14ijeOBg9plRIa3Avyr1njop3zM5Bx6x1E08i0Et32W223Pn2NRs9E0spHwnkFAAD__3efI0FRAAAA,,588,вчера в 12:35,Частное лицо ·,-
,17000,https://www.avito.ru/rostov-na-donu/telefony/iphone_11_64_gb_4334204087?slocation=107620&context=H4sIAAAAAAAA_xzIbQqDMBAE0LvsCZqGtjA5zXYimAWN-QAD4t1Ffz14ijeOBg9plRIa3Avyr1njop3zM5Bx6x1E08i0Et32W223Pn2NRs9E0spHwnkFAAD__3efI0FRAAAA,,80,сегодня в 12:29,Частное лицо ·,-
